					
					
					
					
					
					
					
					
					
					
					
	Day	From	To	Time	Number of bus
	Weekday	Nila	Sahyadri	8:30	2
	Weekday	Nila	Sahyadri	9:25	1
	Weekday	Nila	Sahyadri	9:45	1
	Weekday	Nila	Sahyadri	10:20	1
	Weekday	Nila	Sahyadri	10:45	1
	Weekday	Nila	Sahyadri	11:15	1
	Weekday	Nila	Sahyadri	11:50	2
	Weekday	Nila	Sahyadri	12:15	1
	Weekday	Nila	Sahyadri	12:30	2
	Weekday	Nila	Sahyadri	13:00	2
	Weekday	Nila	Sahyadri	13:30	2
	Weekday	Nila	Sahyadri	13:45	2
	Weekday	Nila	Sahyadri	14:15	1
	Weekday	Nila	Sahyadri	14:45	1
	Weekday	Nila	Sahyadri	15:20	1
	Weekday	Nila	Sahyadri	15:45	1
	Weekday	Nila	Sahyadri	16:30	1
	Weekday	Nila	Sahyadri	17:00	1
	Weekday	Nila	Sahyadri	17:15	2
	Weekday	Nila	Sahyadri	17:45	1
	Weekday	Nila	Sahyadri	18:00	1
	Weekday	Nila	Sahyadri	18:30	1
	Weekday	Nila	Sahyadri	19:00	1
	Weekday	Nila	Sahyadri	19:30	1
	Weekday	Nila	Sahyadri	20:00	2
	Weekday	Nila	Sahyadri	20:30	1
	Weekday	Nila	Sahyadri	21:00	1
	Weekday	Nila	Sahyadri	22:00	1
	Weekday	Nila	Sahyadri	23:00	1
	Weekday	Nila	Sahyadri	23:00	1
	Weekday	Nila	Sahyadri	0:00	1
	Weekday	Sahyadri	Nila	7:45	1
	Weekday	Sahyadri	Nila	8:15	1
	Weekday	Sahyadri	Nila	8:30	2
	Weekday	Sahyadri	Nila	8:45	1
	Weekday	Sahyadri	Nila	9:00	2
	Weekday	Sahyadri	Nila	9:25	1
	Weekday	Sahyadri	Nila	9:45	1
	Weekday	Sahyadri	Nila	10:20	2
	Weekday	Sahyadri	Nila	10:45	1
	Weekday	Sahyadri	Nila	11:15	1
	Weekday	Sahyadri	Nila	11:50	2
	Weekday	Sahyadri	Nila	12:15	1
	Weekday	Sahyadri	Nila	12:30	2
	Weekday	Sahyadri	Nila	13:00	1
	Weekday	Sahyadri	Nila	13:30	2
	Weekday	Sahyadri	Nila	13:45	2
	Weekday	Sahyadri	Nila	14:15	1
	Weekday	Sahyadri	Nila	14:45	1
	Weekday	Sahyadri	Nila	15:20	2
	Weekday	Sahyadri	Nila	15:45	1
	Weekday	Sahyadri	Nila	16:30	1
	Weekday	Sahyadri	Nila	17:00	1
	Weekday	Sahyadri	Nila	17:15	2
	Weekday	Sahyadri	Nila	17:45	1
	Weekday	Sahyadri	Nila	18:00	1
	Weekday	Sahyadri	Nila	18:30	1
	Weekday	Sahyadri	Nila	19:00	1
	Weekday	Sahyadri	Nila	19:30	1
	Weekday	Sahyadri	Nila	20:00	2
	Weekday	Sahyadri	Nila	21:15	1
	Weekday	Sahyadri	Nila	22:15	1
	Weekday	Sahyadri	Nila	23:15	2
	Weekday	Sahyadri	Nila	23:15	2
	Saturday	Nila	Sahyadri	8:30	1
	Saturday	Nila	Sahyadri	9:00	1
	Saturday	Nila	Sahyadri	9:30	1
	Saturday	Nila	Sahyadri	10:00	1
	Saturday	Nila	Sahyadri	10:30	1
	Saturday	Nila	Sahyadri	11:00	1
	Saturday	Nila	Sahyadri	11:30	1
	Saturday	Nila	Sahyadri	12:00	1
	Saturday	Nila	Sahyadri	12:30	1
	Saturday	Nila	Sahyadri	13:00	1
	Saturday	Nila	Sahyadri	13:30	1
	Saturday	Nila	Sahyadri	14:00	1
	Saturday	Nila	Sahyadri	14:30	1
	Saturday	Nila	Sahyadri	15:00	1
	Saturday	Nila	Sahyadri	15:30	1
	Saturday	Nila	Sahyadri	16:00	1
	Saturday	Nila	Sahyadri	16:30	1
	Saturday	Nila	Sahyadri	17:00	1
	Saturday	Nila	Sahyadri	17:15	1
	Saturday	Nila	Sahyadri	17:30	1
	Saturday	Nila	Sahyadri	18:00	1
	Saturday	Nila	Sahyadri	18:00	1
	Saturday	Nila	Sahyadri	18:30	1
	Saturday	Nila	Sahyadri	19:00	1
	Saturday	Nila	Sahyadri	19:30	1
	Saturday	Nila	Sahyadri	20:00	2
	Saturday	Nila	Sahyadri	20:30	1
	Saturday	Nila	Sahyadri	21:00	1
	Saturday	Nila	Sahyadri	22:00	1
	Saturday	Nila	Sahyadri	23:00	1
	Saturday	Nila	Sahyadri	0:00	1
	Saturday	Sahyadri	Nila	7:30	1
	Saturday	Sahyadri	Nila	8:00	1
	Saturday	Sahyadri	Nila	8:30	1
	Saturday	Sahyadri	Nila	9:00	1
	Saturday	Sahyadri	Nila	9:30	1
	Saturday	Sahyadri	Nila	10:00	1
	Saturday	Sahyadri	Nila	10:30	1
	Saturday	Sahyadri	Nila	11:00	1
	Saturday	Sahyadri	Nila	11:30	1
